device_id,fleet_id,event_time,battery_level,speed_mps,status,error_code,location_zone,temperature_celsius
ROBOT-0018,FLEET-BOSTON-01,2026-03-22 15:03:00,51,0.0,ERROR,,ZONE-E,23.9
ROBOT-0008,FLEET-BOSTON-02,2026-03-22 01:06:00,23,0.0,CHARGING,,ZONE-D,25.1
ROBOT-0004,FLEET-BOSTON-01,2026-03-22 07:09:00,61,2.84,ACTIVE,,ZONE-E,36.6
ROBOT-0020,FLEET-BOSTON-01,2026-03-22 07:03:00,31,0.0,CHARGING,,ZONE-B,39.7
ROBOT-0020,FLEET-SEATTLE-01,2026-03-22 05:44:00,40,0.0,ERROR,,ZONE-C,44.4
ROBOT-0009,FLEET-SEATTLE-01,2026-03-22 23:11:00,78,0.0,ERROR,,ZONE-A,21.7
ROBOT-0009,FLEET-SEATTLE-01,2026-03-22 04:19:00,17,0.0,CHARGING,,ZONE-B,24.7
ROBOT-0013,FLEET-BOSTON-02,2026-03-22 04:51:00,91,0.0,ERROR,ERR_COMM,ZONE-E,35.1
ROBOT-0015,FLEET-BOSTON-01,2026-03-22 21:37:00,58,0.0,CHARGING,,ZONE-A,28.9
ROBOT-0016,FLEET-BOSTON-02,2026-03-22 19:51:00,63,0.0,ERROR,,ZONE-A,41.5
ROBOT-0015,FLEET-SEATTLE-01,2026-03-22 22:40:00,98,2.44,ACTIVE,,ZONE-A,39.5
ROBOT-0014,FLEET-BOSTON-01,2026-03-22 16:53:00,37,0.0,CHARGING,,ZONE-C,26.7
ROBOT-0019,FLEET-BOSTON-01,2026-03-22 19:19:00,75,0.0,ERROR,,ZONE-D,39.3
ROBOT-0004,FLEET-SEATTLE-01,2026-03-22 15:41:00,10,0.06,ACTIVE,,ZONE-B,29.9
ROBOT-0007,FLEET-SEATTLE-01,2026-03-22 04:30:00,59,3.09,ACTIVE,,ZONE-C,22.3
ROBOT-0012,FLEET-BOSTON-02,2026-03-22 02:48:00,88,0.0,ERROR,ERR_SENSOR,ZONE-C,35.9
ROBOT-0013,FLEET-SEATTLE-01,2026-03-22 10:25:00,11,0.0,IDLE,,ZONE-B,29.6
ROBOT-0004,FLEET-BOSTON-01,2026-03-22 07:17:00,95,1.67,ACTIVE,,ZONE-B,34.0
ROBOT-0001,FLEET-SEATTLE-01,2026-03-22 11:43:00,11,0.0,CHARGING,,ZONE-A,44.7
ROBOT-0016,FLEET-BOSTON-01,2026-03-22 07:48:00,26,0.0,CHARGING,,ZONE-D,20.4
ROBOT-0011,FLEET-BOSTON-02,2026-03-22 10:12:00,18,0.48,ACTIVE,,ZONE-B,35.3
ROBOT-0017,FLEET-SEATTLE-01,2026-03-22 00:17:00,13,0.0,IDLE,,ZONE-E,35.6
ROBOT-0007,FLEET-SEATTLE-01,2026-03-22 05:10:00,54,0.0,CHARGING,,ZONE-D,34.6
ROBOT-0003,FLEET-BOSTON-01,2026-03-22 04:46:00,37,0.0,CHARGING,,ZONE-A,33.9
ROBOT-0014,FLEET-BOSTON-02,2026-03-22 04:46:00,54,0.0,CHARGING,,ZONE-B,25.5
ROBOT-0018,FLEET-SEATTLE-01,2026-03-22 20:28:00,36,2.52,ACTIVE,,ZONE-C,39.0
ROBOT-0010,FLEET-BOSTON-01,2026-03-22 17:40:00,89,2.12,ACTIVE,,ZONE-B,38.2
ROBOT-0016,FLEET-BOSTON-02,2026-03-22 03:50:00,35,0.0,ERROR,ERR_BATTERY,ZONE-B,31.5
ROBOT-0001,FLEET-BOSTON-02,2026-03-22 10:48:00,72,0.46,ACTIVE,,ZONE-E,29.4
ROBOT-0003,FLEET-BOSTON-01,2026-03-22 20:02:00,65,0.0,IDLE,,ZONE-A,18.4
ROBOT-0002,FLEET-BOSTON-02,2026-03-22 17:17:00,10,0.0,IDLE,,ZONE-C,35.0
ROBOT-0013,FLEET-BOSTON-01,2026-03-22 21:51:00,64,0.0,CHARGING,,ZONE-E,32.5
ROBOT-0003,FLEET-BOSTON-02,2026-03-22 02:41:00,40,0.0,IDLE,,ZONE-E,42.9
ROBOT-0011,FLEET-BOSTON-02,2026-03-22 20:01:00,73,0.0,IDLE,,ZONE-A,26.4
ROBOT-0002,FLEET-BOSTON-01,2026-03-22 02:56:00,40,0.0,CHARGING,,ZONE-D,21.1
ROBOT-0006,FLEET-BOSTON-01,2026-03-22 00:25:00,44,2.48,ACTIVE,,ZONE-A,22.4
ROBOT-0009,FLEET-BOSTON-01,2026-03-22 12:41:00,71,0.0,ERROR,,ZONE-B,38.2
ROBOT-0011,FLEET-BOSTON-02,2026-03-22 09:17:00,8,0.0,ERROR,ERR_SENSOR,ZONE-E,19.7
ROBOT-0015,FLEET-SEATTLE-01,2026-03-22 12:17:00,68,0.19,ACTIVE,,ZONE-E,22.5
ROBOT-0004,FLEET-SEATTLE-01,2026-03-22 23:00:00,37,0.0,IDLE,,ZONE-A,24.2
ROBOT-0001,FLEET-BOSTON-01,2026-03-22 01:34:00,10,1.65,ACTIVE,,ZONE-D,42.8
ROBOT-0018,FLEET-SEATTLE-01,2026-03-22 22:22:00,9,0.0,IDLE,,ZONE-D,24.1
ROBOT-0011,FLEET-BOSTON-02,2026-03-22 02:39:00,58,0.0,IDLE,,ZONE-E,28.1
ROBOT-0008,FLEET-SEATTLE-01,2026-03-22 01:34:00,27,3.34,ACTIVE,,ZONE-A,41.7
ROBOT-0003,FLEET-SEATTLE-01,2026-03-22 15:35:00,46,0.0,ERROR,,ZONE-A,28.0
ROBOT-0020,FLEET-BOSTON-01,2026-03-22 15:50:00,43,0.0,ERROR,,ZONE-C,34.0
ROBOT-0018,FLEET-BOSTON-01,2026-03-22 05:08:00,35,0.0,CHARGING,,ZONE-A,43.2
ROBOT-0018,FLEET-BOSTON-02,2026-03-22 21:42:00,34,2.94,ACTIVE,,ZONE-A,43.7
ROBOT-0013,FLEET-SEATTLE-01,2026-03-22 10:29:00,89,0.36,ACTIVE,,ZONE-E,44.5
ROBOT-0002,FLEET-BOSTON-01,2026-03-22 09:33:00,72,0.0,CHARGING,,ZONE-A,19.2
ROBOT-0014,FLEET-SEATTLE-01,2026-03-22 12:42:00,71,0.0,IDLE,,ZONE-D,44.3
ROBOT-0004,FLEET-SEATTLE-01,2026-03-22 04:33:00,79,2.23,ACTIVE,,ZONE-D,20.0
ROBOT-0005,FLEET-BOSTON-01,2026-03-22 09:57:00,60,0.91,ACTIVE,,ZONE-C,43.0
ROBOT-0011,FLEET-BOSTON-02,2026-03-22 09:16:00,51,0.0,CHARGING,,ZONE-B,20.0
ROBOT-0019,FLEET-BOSTON-01,2026-03-22 05:18:00,22,0.0,IDLE,,ZONE-A,22.4
ROBOT-0014,FLEET-BOSTON-01,2026-03-22 18:17:00,50,0.0,CHARGING,,ZONE-C,44.0
ROBOT-0010,FLEET-BOSTON-02,2026-03-22 09:02:00,62,0.0,IDLE,,ZONE-A,20.4
ROBOT-0007,FLEET-BOSTON-02,2026-03-22 05:03:00,10,0.0,ERROR,,ZONE-A,37.2
ROBOT-0002,FLEET-SEATTLE-01,2026-03-22 10:12:00,70,0.0,ERROR,,ZONE-C,40.1
ROBOT-0013,FLEET-BOSTON-02,2026-03-22 18:58:00,8,0.0,IDLE,,ZONE-E,24.7
ROBOT-0005,FLEET-BOSTON-01,2026-03-22 00:24:00,23,0.0,CHARGING,,ZONE-A,40.4
ROBOT-0007,FLEET-BOSTON-02,2026-03-22 12:42:00,21,0.0,IDLE,,ZONE-A,33.7
ROBOT-0003,FLEET-BOSTON-01,2026-03-22 22:02:00,7,0.0,ERROR,ERR_SENSOR,ZONE-D,39.9
ROBOT-0004,FLEET-BOSTON-01,2026-03-22 15:44:00,47,0.18,ACTIVE,,ZONE-E,29.7
ROBOT-0001,FLEET-BOSTON-02,2026-03-22 23:19:00,73,0.0,CHARGING,,ZONE-D,22.7
ROBOT-0009,FLEET-BOSTON-02,2026-03-22 15:13:00,28,0.0,IDLE,,ZONE-B,18.9
ROBOT-0010,FLEET-BOSTON-02,2026-03-22 14:03:00,87,0.0,IDLE,,ZONE-E,30.9
ROBOT-0013,FLEET-BOSTON-01,2026-03-22 14:18:00,40,0.7,ACTIVE,,ZONE-E,24.7
ROBOT-0012,FLEET-BOSTON-02,2026-03-22 18:35:00,53,2.74,ACTIVE,,ZONE-C,42.6
ROBOT-0006,FLEET-BOSTON-01,2026-03-22 10:53:00,39,0.0,ERROR,,ZONE-E,23.9
ROBOT-0017,FLEET-BOSTON-02,2026-03-22 19:56:00,65,0.0,ERROR,ERR_BATTERY,ZONE-B,44.3
ROBOT-0008,FLEET-BOSTON-02,2026-03-22 18:12:00,36,2.86,ACTIVE,,ZONE-A,38.6
ROBOT-0013,FLEET-BOSTON-02,2026-03-22 05:55:00,78,0.0,IDLE,,ZONE-B,24.4
ROBOT-0001,FLEET-SEATTLE-01,2026-03-22 23:54:00,80,0.0,ERROR,,ZONE-C,43.6
ROBOT-0007,FLEET-BOSTON-02,2026-03-22 18:30:00,77,0.0,IDLE,,ZONE-C,22.7
ROBOT-0002,FLEET-BOSTON-01,2026-03-22 20:32:00,16,0.77,ACTIVE,,ZONE-E,30.9
ROBOT-0005,FLEET-BOSTON-02,2026-03-22 06:03:00,30,0.0,ERROR,,ZONE-C,19.6
ROBOT-0005,FLEET-BOSTON-01,2026-03-22 17:57:00,80,0.0,IDLE,,ZONE-C,43.9
ROBOT-0004,FLEET-BOSTON-02,2026-03-22 10:18:00,80,0.0,ERROR,,ZONE-C,21.7
ROBOT-0014,FLEET-SEATTLE-01,2026-03-22 16:37:00,98,0.0,IDLE,,ZONE-C,22.7
ROBOT-0019,FLEET-BOSTON-01,2026-03-22 12:54:00,90,0.0,ERROR,ERR_COMM,ZONE-C,37.8
